time	V(v1)	V(v2)	V(v3)
0.000000000000000e+000	0.000000e+000	0.000000e+000	2.219405e-008
1.000000000000000e-002	0.000000e+000	0.000000e+000	2.219405e-008
1.013671875000000e-002	0.000000e+000	3.417969e-001	2.217533e-008
1.017578125000000e-002	0.000000e+000	4.394531e-001	2.198533e-008
1.021484375000000e-002	0.000000e+000	5.371094e-001	2.042160e-008
1.025390625000000e-002	0.000000e+000	6.347656e-001	1.431655e-008
1.029296874999999e-002	0.000000e+000	7.324219e-001	1.936680e-009
1.033203124999999e-002	0.000000e+000	8.300781e-001	-1.491940e-008
1.037109374999999e-002	0.000000e+000	9.277344e-001	-3.429023e-008
1.041015624999999e-002	0.000000e+000	1.025391e+000	-5.461220e-008
1.044921874999999e-002	0.000000e+000	1.123047e+000	-3.362240e-008
1.048828124999999e-002	0.000000e+000	1.220703e+000	5.027872e-006
1.052734374999999e-002	0.000000e+000	1.318359e+000	2.861124e-004
1.056640624999999e-002	0.000000e+000	1.416016e+000	2.645740e-003
1.060546874999999e-002	0.000000e+000	1.513672e+000	1.437864e-002
1.064453124999999e-002	0.000000e+000	1.611328e+000	4.075704e-002
1.064662534261327e-002	0.000000e+000	1.616563e+000	4.393524e-002
1.065081352783984e-002	0.000000e+000	1.627034e+000	5.561180e-002
1.065742027265696e-002	0.000000e+000	1.643551e+000	8.572923e-002
1.066027171749892e-002	0.000000e+000	1.650679e+000	1.086638e-001
1.066063308252724e-002	0.000000e+000	1.651583e+000	1.143978e-001
1.066135581258386e-002	0.000000e+000	1.653390e+000	1.377053e-001
1.066280127269711e-002	0.000000e+000	1.657003e+000	2.446932e-001
1.066450375314040e-002	0.000000e+000	1.661259e+000	4.811200e-001
1.066472596699248e-002	0.000000e+000	1.661815e+000	5.752448e-001
1.066503759364912e-002	0.000000e+000	1.662594e+000	1.329114e+000
1.066520244135925e-002	0.000000e+000	1.663006e+000	2.449908e+000
1.066530234309479e-002	0.000000e+000	1.663256e+000	3.211777e+000
1.066537344720586e-002	0.000000e+000	1.663434e+000	3.499436e+000
1.066545763326597e-002	0.000000e+000	1.663644e+000	3.654783e+000
1.066562600538618e-002	0.000000e+000	1.664065e+000	3.862391e+000
1.066579445412865e-002	0.000000e+000	1.664486e+000	4.014868e+000
1.066604897083451e-002	0.000000e+000	1.665122e+000	4.188066e+000
1.066637529879532e-002	0.000000e+000	1.665938e+000	4.355653e+000
1.066702795471692e-002	0.000000e+000	1.667570e+000	4.590144e+000
1.066794237840553e-002	0.000000e+000	1.669856e+000	4.792285e+000
1.066930558594598e-002	0.000000e+000	1.673264e+000	4.937310e+000
1.067063169116260e-002	0.000000e+000	1.676579e+000	4.986115e+000
1.067183318078234e-002	0.000000e+000	1.679583e+000	4.995107e+000
1.067299948938169e-002	0.000000e+000	1.682499e+000	4.997116e+000
1.067421254593872e-002	0.000000e+000	1.685531e+000	4.998034e+000
1.067663865905277e-002	0.000000e+000	1.691597e+000	4.998879e+000
1.068071912525217e-002	0.000000e+000	1.701798e+000	4.999485e+000
1.068662862907393e-002	0.000000e+000	1.716572e+000	4.999784e+000
1.069704136749514e-002	0.000000e+000	1.742603e+000	4.999923e+000
1.071786684433755e-002	0.000000e+000	1.794667e+000	4.999980e+000
1.075486271385866e-002	0.000000e+000	1.887157e+000	4.999997e+000
1.079392521385866e-002	0.000000e+000	1.984813e+000	4.999999e+000
1.083298771385866e-002	0.000000e+000	2.082469e+000	5.000000e+000
1.087205021385866e-002	0.000000e+000	2.180125e+000	5.000000e+000
1.091111271385866e-002	0.000000e+000	2.277782e+000	5.000000e+000
1.095017521385866e-002	0.000000e+000	2.375438e+000	5.000000e+000
1.098923771385866e-002	0.000000e+000	2.473094e+000	5.000000e+000
1.102830021385865e-002	0.000000e+000	2.570750e+000	5.000000e+000
1.106736271385865e-002	0.000000e+000	2.668407e+000	5.000000e+000
1.110642521385865e-002	0.000000e+000	2.766063e+000	5.000000e+000
1.114548771385865e-002	0.000000e+000	2.863719e+000	5.000000e+000
1.118455021385865e-002	0.000000e+000	2.961375e+000	5.000000e+000
1.122361271385865e-002	0.000000e+000	3.059032e+000	5.000000e+000
1.126267521385865e-002	0.000000e+000	3.156688e+000	5.000000e+000
1.130173771385865e-002	0.000000e+000	3.254344e+000	5.000000e+000
1.134080021385865e-002	0.000000e+000	3.352000e+000	5.000000e+000
1.137986271385865e-002	0.000000e+000	3.449657e+000	5.000000e+000
1.141892521385865e-002	0.000000e+000	3.547313e+000	5.000000e+000
1.145798771385865e-002	0.000000e+000	3.644969e+000	5.000000e+000
1.149705021385864e-002	0.000000e+000	3.742625e+000	5.000000e+000
1.153611271385864e-002	0.000000e+000	3.840282e+000	5.000000e+000
1.157517521385864e-002	0.000000e+000	3.937938e+000	5.000000e+000
1.161423771385864e-002	0.000000e+000	4.035594e+000	5.000000e+000
1.165330021385864e-002	0.000000e+000	4.133251e+000	5.000000e+000
1.169236271385864e-002	0.000000e+000	4.230907e+000	5.000000e+000
1.173142521385864e-002	0.000000e+000	4.328563e+000	5.000000e+000
1.177048771385864e-002	0.000000e+000	4.426219e+000	5.000000e+000
1.180955021385864e-002	0.000000e+000	4.523876e+000	5.000000e+000
1.196093750000000e-002	0.000000e+000	4.902344e+000	5.000000e+000
1.200000000000000e-002	0.000000e+000	5.000000e+000	4.999953e+000
1.200390625000000e-002	0.000000e+000	5.000000e+000	4.999984e+000
1.201171875000000e-002	0.000000e+000	5.000000e+000	5.000000e+000
2.000000000000000e-002	0.000000e+000	5.000000e+000	5.000000e+000
2.027265625000015e-002	6.816406e-001	5.000000e+000	5.000000e+000
2.054531250000029e-002	1.363281e+000	5.000000e+000	5.000000e+000
2.081796875000044e-002	2.044922e+000	5.000000e+000	5.000000e+000
2.109062500000058e-002	2.726563e+000	5.000000e+000	5.000000e+000
2.136328125000073e-002	3.408203e+000	5.000000e+000	5.000000e+000
2.163593750000087e-002	4.089844e+000	5.000000e+000	5.000000e+000
2.190859375000102e-002	4.771484e+000	5.000000e+000	5.000000e+000
2.200437499984083e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.208191964251607e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.215946428519130e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.223700892786654e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.231455357054177e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.239209821321701e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.246964285589224e-002	5.000000e+000	5.000000e+000	5.000000e+000
2.254718749856748e-002	5.000000e+000	5.000000e+000	5.000000e+000
3.200387500014328e-002	5.000000e+000	4.990313e+000	5.000000e+000
3.203952678614411e-002	5.000000e+000	4.901183e+000	5.000000e+000
3.207517857214494e-002	5.000000e+000	4.812054e+000	5.000000e+000
3.211083035814577e-002	5.000000e+000	4.722924e+000	5.000000e+000
3.214648214414660e-002	5.000000e+000	4.633795e+000	5.000000e+000
3.218213393014743e-002	5.000000e+000	4.544665e+000	5.000000e+000
3.221778571614826e-002	5.000000e+000	4.455536e+000	5.000000e+000
3.225343750214910e-002	5.000000e+000	4.366406e+000	5.000000e+000
3.238736607357767e-002	5.000000e+000	4.031585e+000	5.000000e+000
3.252129464500624e-002	5.000000e+000	3.696763e+000	5.000000e+000
3.265522321643481e-002	5.000000e+000	3.361942e+000	5.000000e+000
3.278915178786337e-002	5.000000e+000	3.027120e+000	5.000000e+000
3.292308035929194e-002	5.000000e+000	2.692299e+000	5.000000e+000
3.305700893072051e-002	5.000000e+000	2.357478e+000	5.000000e+000
3.319093750214908e-002	5.000000e+000	2.022656e+000	5.000000e+000
3.330651785898493e-002	5.000000e+000	1.733705e+000	5.000000e+000
