#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18988
#Date Time: 2019-04-24 18:03:01.085
#Trigger:Source: Channel 1Type: EdgeCondition: RisingLevel: -100 mVHyst.: AutoHoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.8 V
#Channel 2: Range: 500 mV/div Offset: -1.72 V

Time (s),Channel 1 (V),Channel 2 (V)
-0.030252950000000001,2.0502734533374185,1.9400124958758282
-0.030245319999999999,2.0499415238930938,1.9410170901050983
-0.030237690000000001,2.0499415238930938,1.9426914138205484
-0.03023006,2.0499415238930938,1.9440308727929088
-0.030222430000000002,2.0499415238930938,1.9453703317652689
-0.0302148,2.0499415238930938,1.9463749259945389
-0.030207169999999998,2.0499415238930938,1.9477143849668992
-0.03019954,2.0499415238930938,1.9487189791961694
-0.030191909999999999,2.0502734533374185,1.9500584381685295
-0.030184280000000001,2.0499415238930938,1.9503933029116196
-0.030176649999999999,2.0499415238930938,1.9513978971408896
-0.030169020000000001,2.0499415238930938,1.9524024913701599
-0.03016139,2.0506053827817436,1.9530722208563398
-0.030153760000000002,2.0502734533374185,1.95374195034252
-0.03014613,2.0502734533374185,1.9544116798287001
-0.030138499999999999,2.0506053827817436,1.9554162740579701
-0.030130870000000001,2.0502734533374185,1.9557511388010602
-0.030123239999999999,2.0499415238930938,1.9560860035441503
-0.030115610000000001,2.0499415238930938,1.9567557330303305
-0.030107979999999999,2.0502734533374185,1.9567557330303305
-0.030100350000000001,2.0506053827817436,1.9574254625165104
-0.03009272,2.0506053827817436,1.9577603272596005
-0.030085090000000002,2.0502734533374185,1.9584300567457806
-0.03007746,2.0502734533374185,1.9587649214888707
-0.030069829999999999,2.0502734533374185,1.9587649214888707
-0.030062200000000001,2.0499415238930938,1.9594346509750507
-0.030054569999999999,2.0502734533374185,1.9597695157181407
-0.030046940000000001,2.0499415238930938,1.9594346509750507
-0.03003931,2.0499415238930938,1.9597695157181407
-0.030031680000000002,2.0496095944487687,1.9601043804612308
-0.03002405,2.0496095944487687,1.9604392452043209
-0.030016419999999999,2.0492776650044435,1.9604392452043209
-0.03000879,2.0499415238930938,1.960774109947411
-0.030001159999999999,2.0499415238930938,1.960774109947411
-0.029993530000000001,2.0499415238930938,1.960774109947411
-0.029985899999999999,2.0499415238930938,1.960774109947411
-0.029978270000000001,2.0499415238930938,1.9611089746905011
-0.02997064,2.0502734533374185,1.9614438394335911
-0.029963010000000002,2.0482818766714681,1.9614438394335911
-0.02995538,1.9500307611512375,1.9577603272596005
-0.029947749999999999,1.9500307611512375,1.947044655480719
-0.029940120000000001,1.9503626905955627,1.9369987131880178
-0.029932489999999999,1.9503626905955627,1.9286270946107666
-0.029924860000000001,1.9506946200398878,1.9215949350058756
-0.02991723,1.9506946200398878,1.9155673696302549
-0.029909600000000001,1.9503626905955627,1.9105443984839041
-0.02990197,1.9506946200398878,1.9061911568237335
-0.029894340000000002,1.9500307611512375,1.902172779906653
-0.02988671,1.9506946200398878,1.8991589972188427
-0.029879079999999999,1.9500307611512375,1.8961452145310322
-0.029871450000000001,1.9500307611512375,1.8934662965863118
-0.029863819999999999,1.9500307611512375,1.8914571081277716
-0.029856190000000001,1.9506946200398878,1.8894479196692313
-0.02984856,1.9506946200398878,1.8877735959537811
-0.029840930000000002,1.9503626905955627,1.886099272238331
-0.0298333,1.9503626905955627,1.8844249485228808
-0.029825669999999999,1.9500307611512375,1.8830854895505205
-0.029818040000000001,1.9503626905955627,1.8820808953212504
-0.029810409999999999,1.9503626905955627,1.8814111658350703
-0.029802780000000001,1.9503626905955627,1.8800717068627102
-0.029795149999999999,1.9503626905955627,1.87940197737653
-0.029787520000000001,1.9503626905955627,1.8787322478903499
-0.02977989,1.9503626905955627,1.8783973831472598
-0.029772260000000002,1.9503626905955627,1.8773927889179898
-0.02976463,1.9500307611512375,1.8770579241748997
-0.029756999999999999,1.9500307611512375,1.8763881946887195
-0.029749370000000001,1.9500307611512375,1.8760533299456297
-0.029741739999999999,1.9503626905955627,1.8753836004594495
-0.029734110000000001,1.9503626905955627,1.8750487357163594
-0.02972648,1.9503626905955627,1.8743790062301793
-0.029718850000000002,1.9506946200398878,1.8743790062301793
-0.02971122,1.9503626905955627,1.8740441414870892
-0.029703589999999998,1.9503626905955627,1.8740441414870892
-0.02969596,1.9500307611512375,1.8737092767439993
-0.029688329999999999,1.9500307611512375,1.8737092767439993
-0.029680700000000001,1.9500307611512375,1.8733744120009093
-0.029673069999999999,1.9500307611512375,1.8730395472578192
-0.029665440000000001,1.9500307611512375,1.8727046825147291
-0.02965781,1.9506946200398878,1.8727046825147291
-0.029650180000000002,1.9506946200398878,1.8727046825147291
-0.02964255,1.9500307611512375,1.872369817771639
-0.029634919999999999,1.9503626905955627,1.8727046825147291
-0.029627290000000001,1.9500307611512375,1.872369817771639
-0.029619659999999999,1.9503626905955627,1.872369817771639
-0.029612030000000001,1.9500307611512375,1.8720349530285492
-0.029604399999999999,1.9500307611512375,1.872369817771639
-0.029596770000000001,1.9500307611512375,1.8720349530285492
-0.02958914,1.9500307611512375,1.8720349530285492
-0.029581510000000002,1.9503626905955627,1.8717000882854591
-0.02957388,1.9500307611512375,1.8720349530285492
-0.029566249999999999,1.9503626905955627,1.8720349530285492
-0.029558620000000001,1.9503626905955627,1.8717000882854591
-0.029550989999999999,1.9503626905955627,1.8720349530285492
-0.029543360000000001,1.9503626905955627,1.8717000882854591
-0.02953573,1.9503626905955627,1.8720349530285492
